Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Algeria,,,,,,,,,,,,,,,,,,,,,314.4804504,349.352263,365.4427339,383.2792729,417.5425988,449.8226156,415.339727,367.4299279,304.0272253,260.7899649,220.9608783,131.7875408,135.1520187,162.1205974,139.9843043,117.3480529,119.5736729,129.0833911,135.4560137,125.2273619,119.3296434,123.2792031,114.3009133,103.0120775,103.4458343,101.6687788,101.2425473,99.86714588,102.2307368,100.2617822,100,99.12325252,103.9099947,101.7984329,102.9246331,96.57357383,95.58586522,97.80487643,93.51677046,95.44848218,91.22069805,86.79854395,92.32771806,102.3110482,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,94.03068271,88.71255246,88.53825485,77.66813869,79.99987211,81.50624181,86.7162788,90.24945291,94.51397166,100.2667544,107.2903183,107.896,107.3365464,95.53957472,91.12849406,92.76993696,94.66303291,90.49214688,90.98259254,90.38054226,88.45799396,90.10963749,92.18226862,96.76495187,98.69839377,99.13094639,100.4639361,102.0202977,103.9154926,103.783708,100,100.3983787,97.97119536,99.75624571,99.24984549,93.87017744,94.66600874,95.96391162,97.85469597,95.93808055,96.36063405,97.27716714,96.23274898,96.65641386,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,112.7391659,116.7542221,119.994211,123.4548374,119.7907276,123.7836292,124.6917255,123.8849723,126.9923022,131.4247274,138.5494243,142.3456517,135.4695397,117.5392084,100.0035548,106.4916201,115.9745379,110.6761082,105.7637406,106.3391323,105.3898213,100.004614,100.651077,102.1010962,107.0822746,107.0175847,103.8376559,102.4795893,103.9490522,105.6817917,106.7008357,100,99.81005983,96.99458934,99.02368291,100.5563283,96.10347388,97.37931978,96.77701533,98.62590423,96.9872988,98.25170908,97.81353976,94.53479906,99.08764354,
Fiji,,,,,,,,,,,,,,,,,,,,,169.8154869,174.6276205,175.3263148,174.4768553,176.8970787,179.3621918,161.3134727,137.0726605,116.9687179,117.11753,118.2755618,121.6374804,121.8953246,126.1501057,126.4840837,124.1554845,124.5730545,128.4633464,109.3843852,109.5223062,106.1197879,107.4814643,107.7108887,115.1790791,117.4092283,116.8807352,114.7057637,117.0488906,119.6928125,104.881764,100,103.8088116,105.8603112,105.6640105,103.8705989,105.6261207,110.1560545,112.2504644,113.3470151,114.068644,110.391331,108.3794874,108.2235508,106.3919493,
