Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Canada,,-264543212,-155319173.9,240146568.5,479321479.9,-169761486.3,-112316059.3,496890700.6,661732320.4,-156950158.7,1937027467,1299267182,656631983,1435856414,-156441717.8,-3376917027,-1865111562,-752233192.3,476900149,1021854192,4663017448,2048544499,11860257761,10738396624,12115666744,8246063713,3449442245,4939668175,3769399529,147804054.1,918752142.6,-3165750196,-2019525110,199209363.6,6794815466,18993004955,24825815915,12636862632,12535220762,24472639160,42102888694,42385717975,33546804308,34853329527,45822444274,46388017825,36316114245,31956987245,27432052484,-19832035692,-30298625514,-20478981976,-34546946169,-28939829822,-16351253124,-38367633198,-36038362646,-36155870206,-33628018589,-25564644017,-36581964914,171468187.7,2835839161,-9724361785
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,-63115481.36,-45029391.13,221037101,178286147.6,-321543315.5,3380381591,3989277484,3744103599,4976046980,1513467252,-2747267411,577611241.2,641748017.5,-1159673670,3068976891,2823849660,1304469398,2579710971,2715968017,2503159117,551666426.7,3789785216,7226994738,10772714537,11976138773,13362751797,11233942557,13321429064,11451783694,11155414059,13789333847,12510924390,16508751444,18487339422,28608649779,22784712496,30796138140,47963875375,53780599206,34601471372,57550378834,52571775340,62470319393,73750128765,76003969222,73017271798,69267821492,63090678131,76386915958,70717077809,47526073442,1.00203E+11,1.12138E+11,1.10058E+11
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-114140000,-198972381,-81469754.25,-138188656,-58309926.31,38087741.53,67017398.08,80542423.05,43189790.58,168513808.3,35341638.59,-131010402.2,-426238588.9,-351014125.8,37116934.82,-187399627.8,375782331.7,-320362052,-613837750.8,-745793488.4,-1387218822,-3683471885,-515371499.5,412516961.6,-326526914.7,339874218.9,488799123.5,555122127.4,1690789705,1325335767,1074813125,1706007584,767144019.7,-910684559.6,975504071.2,1678472004,-1587284766,-2009169698,-2909838338,1453089370,1202973201,1109305084,1426773851,3387496432,9394522659,10136484482,21568420266,22911436067,2965554010,12961052512,13219088246,7284860207,-1241563454,-2686184550,968623975.9,-2344377344,-527476262.8,1757983384,-3310531200,-5182833958,11375796843,-2812123013,-11956461652,4383337169
China,-7529999.687,97519999.72,377650000.1,455680000,457760000.1,330179999.7,185299999.7,236019999.9,269479999.9,483200000.1,72660000.02,477289000.1,620759999.9,701488000,-503131000,-380480000,90790999.86,210672000,-1460560000,-1572643000,-2436990000,2150220000,4812000000,2571000000,54000000,-12501000000,-7390000000,291000000,-4061000000,-4928000000,10668000000,11601000000,4998000000,-11792000000,7356999994,11958000002,17550000006,42823220006,43836689484,30640955359,28785851586,28086220290,37382671264,35821129071,51174382542,1.24627E+11,2.08919E+11,3.08036E+11,3.48833E+11,2.2013E+11,2.22401E+11,1.80895E+11,2.31864E+11,2.34872E+11,2.2155E+11,3.58836E+11,2.55484E+11,2.15697E+11,91487265093,1.32788E+11,3.55147E+11,4.60829E+11,5.77847E+11,3.86035E+11
Cote d'Ivoire,61912318.55,44445572.73,55789331.27,79267523.66,102820694.4,61617237.21,78964840.13,80487491.47,162785613.5,131943093.4,96959814.9,59922294.1,83324179.77,63260157.85,224756757.5,5599275.172,256120027.5,394416093.1,-72233811.7,-279708271.7,-628551057.4,-599489000.6,-219715928.8,84762231.08,925034589.6,1003198621,853046354.1,384312611.9,266427821.4,290588103.5,494261432,317468262.4,423133527.3,390620488.4,932626995.3,804798797.7,597310043.7,418272325.1,140294991.9,298433531.9,102138413.2,306880479.2,1231376583,897241870.8,508835024.1,225231795.7,503475149.8,-129143420.9,29551575.09,1407176644,-165525047.9,2145426099,-122015133.8,-13629370.77,1286280537,913378408.8,1122162840,1226197749,-379874598.1,398869444,27924584.44,-379621920.8,-3072134070,-2787461132
Cameroon,,,,,,-4080624.291,-21979994.93,-18292599.76,-26255762.06,5770106.893,17727713.78,-51207085,-85308669.75,-62811431.72,56916211.11,-81656289.01,-136848457,-93210794.43,-208281736.6,-424028383.8,50283352.31,-432822893.3,284501001.3,75161065.26,181713954.7,160040347.9,66035998.34,-513084235,8729311.22,323503987.3,353349715.2,634513722.6,269375911.3,1071655488,534228679.5,712153596.4,378219989.9,521311608.1,187969065.4,187230060.9,188685421.8,-114993489.1,-311599249.9,-218692650.7,-139802528,-98869795.45,262166379.6,177450170.2,-805869364.9,-841139051.8,-687908926.1,-938106662.8,-688308910.4,-808245361.2,-1314441456,-1147279402,-926064461.9,-901317344.5,-1244653784,-1459111721,-1332207513,-1671323232,-1172085979,-1965973410
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159121472.4,268404527.7,-17933674.99,228406523.4,-192697909,287089027.3,-785507246.4,-79333333.33,176816093.1,-538977309.7,-399273347.5,-768866383.7,-659449316.3,-334444767.9,-1131248710,-1737898481,-1838542844,-1593514299,-1976908768,-1494844259,-1804706676,-1471698184,-2975361307,-1441057599,-2289302219,-1812064907,-624480458.5,160644982.6,-1798203074,-1838342542
"Congo, Rep.",-85828368.98,-97378322.06,-54056319.86,-36814246.74,-33975283.74,-33869127.42,-46809154.85,-60162412.88,-67457195.65,-65779205.43,-63313319.05,-64643481.38,-96418040.71,-63708744.45,-36559241.14,-213706221.1,-197530414,-150603456.3,-152446251.6,-14573035.17,-1893226.252,-360282179,-286056638.1,129636323.7,351064560.7,16916595.9,-255843169.2,71538716.81,4364639.159,327264197,916179730.2,370161377.4,711115492.8,308604523.3,-277829404.4,23204861.31,216181946.4,358513997.9,71226194.72,310499228.5,1184146232,674217593.4,836748698.8,166880714,1382720450,2025409315,2367404930,-1020185126,1595721826,-641012579.1,1708164514,3543083009,3312045849,2310536280,370868418.3,-4427610294,-4167324672,154838465.2,3521797595,2910197901,1391319443,2983957560,4660164796,2693665485
Colombia,37777799.55,-38069179.1,-188604.6617,-17774811.11,-41462555.56,139714285.7,-236962963,50735177.54,-61871996.17,-30308803.41,-92440984.16,-316756382.5,39603598.17,233160951.5,-134872245.5,236520895.6,483441418.1,713978822.1,657756746.4,494919891,207410164.9,-1297945281,-1667093178,-1076993311,-221548838.2,447503717.3,2391414017,1467222463,952681940.5,1654161222,1410217815,2312713415,-335465538.7,-3861135460,-4837630363,-5947254613,-5484487362,-6307644265,-5805004003,469252375.4,-835760658.1,-3070577187,-3282653778,-3185356027,-2718797023,-5067786618,-6769709371,-8728898041,-7150135805,-5363370848,-4535024401,-3073024233,-4495521441,-6930298385,-16080615460,-20721562437,-19135554970,-15569440552,-15825333144,-18808380841,-18954175958,-24415341501,-26276761729,-17517519253
Comoros,,,,,,,,,,,,,,,,,,,,,-38376021.25,-35509624.2,-33277189.88,-34655704.41,-33401764.57,-35576347.83,-50493358.61,-61041343.15,-64472981.56,-61754402.58,-77693407.93,-76698523.49,-82715767.73,-81904171.7,-57725907.92,-72059540.22,-71625920.28,-65907920.02,-66932780.16,-69167944.71,-63502525.23,-68452791.6,-77034713.98,-98902548.44,-114605805.6,-118246899.6,-126310802.5,-120986043.7,-181079205.9,-174486811.5,-184068423.7,-205519255.6,-232817923.6,-236042563.4,-228571121.8,-169369675.5,-159897236.3,-176287741.1,-204212902.2,-199821095.3,-274242547.1,-267812077.3,-277697711.2,-297924595
Cabo Verde,,,,,,,,,,,,,,,,,,,,,-70982648.2,-68654776.92,-79120312.09,-73642842.37,-72514550.52,-77877487.48,-110258907.6,-112061707.8,-113087674.7,-114967855.8,-158624711.6,-152959920.5,-176344217.7,-165686386.4,-168612423.8,-210651243.3,-176152822.2,-152559146,-189396687,-231143987.6,-180674415.2,-183257218.6,-223381349.4,-293096458.1,-347396589.8,-279899812.7,-305161263.6,-440686737,-436710882.6,-414650593.8,-455837597.3,-507773133.8,-300793951.9,-225943230.3,-343192657.3,-205391733.7,-229970376.2,-317771967,-311702659.7,-229555185.6,-506517524.3,-610535246.2,-440988527.5,-456356000.7
